time;vname;pose;bp0;bp1;bp2;bp3;bp4;bp5;bp6;bp7;bp8;bp9;bp10;bp11;bp12;bp13;bp14;bp15;bp16
0.0;videos/cuts_train/fall01.mp4;walk;(209.42, 62.81);(211.22, 59.51);(207.92, 60.71);(216.62, 59.51);(206.72, 62.81);(224.42, 75.09);(203.42, 76.58);(228.62, 91.56);(200.42, 93.06);(231.03, 108.93);(196.22, 108.33);(220.52, 110.13);(206.12, 109.53);(222.92, 133.19);(205.22, 134.09);(224.42, 154.45);(207.32, 155.05)
0.03;videos/cuts_train/fall01.mp4;walk;(209.17, 62.37);(211.26, 59.68);(207.38, 60.28);(216.34, 59.98);(206.18, 62.37);(223.82, 74.95);(203.49, 75.84);(230.09, 92.61);(200.5, 92.91);(231.29, 109.37);(196.02, 108.47);(220.53, 109.97);(205.58, 109.37);(223.22, 133.62);(204.69, 133.92);(224.71, 153.67);(206.78, 155.17)
0.07;videos/cuts_train/fall01.mp4;walk;(208.96, 62.35);(210.75, 59.66);(207.17, 60.26);(216.13, 59.96);(205.68, 62.35);(223.29, 74.93);(203.29, 75.53);(229.86, 92.3);(200.01, 92.9);(231.35, 109.97);(196.13, 108.47);(220.01, 109.67);(204.78, 109.67);(222.99, 133.63);(204.49, 133.63);(224.78, 153.39);(205.98, 158.48)
0.1;videos/cuts_train/fall01.mp4;walk;(208.76, 62.65);(210.56, 59.66);(206.66, 60.26);(215.65, 59.96);(205.16, 62.05);(222.83, 74.92);(202.17, 76.42);(229.12, 91.38);(199.48, 92.87);(230.62, 108.73);(195.58, 108.43);(219.54, 109.03);(204.57, 108.73);(222.53, 133.57);(204.57, 133.57);(225.23, 153.31);(206.06, 158.4)
0.13;videos/cuts_train/fall01.mp4;walk;(208.38, 62.11);(210.17, 59.71);(206.29, 60.01);(215.25, 60.01);(204.8, 62.11);(222.71, 74.99);(201.82, 76.19);(228.38, 91.17);(198.83, 92.97);(229.88, 108.55);(195.25, 107.65);(219.43, 108.85);(204.5, 108.85);(222.71, 133.72);(204.5, 133.72);(225.4, 153.79);(206.0, 155.29)
0.17;videos/cuts_train/fall01.mp4;walk;(207.93, 62.24);(209.73, 59.84);(205.84, 60.14);(214.51, 60.14);(204.35, 61.94);(221.97, 74.83);(201.36, 76.33);(228.25, 91.32);(199.57, 91.32);(230.04, 108.71);(197.48, 104.21);(218.99, 108.71);(204.35, 108.71);(222.27, 133.6);(204.65, 133.6);(225.56, 152.79);(205.84, 158.19)
0.2;videos/cuts_train/fall01.mp4;walk;(207.36, 62.06);(209.44, 59.66);(205.57, 59.96);(213.91, 60.26);(203.79, 61.76);(221.65, 74.63);(200.81, 75.52);(228.2, 92.28);(198.72, 90.78);(229.69, 109.93);(195.75, 104.55);(218.67, 109.03);(204.08, 108.74);(222.55, 133.87);(204.68, 133.57);(225.52, 153.32);(206.17, 158.4)
0.23;videos/cuts_train/fall01.mp4;walk;(207.09, 61.96);(208.88, 59.87);(205.31, 59.87);(213.64, 61.07);(203.52, 61.96);(221.38, 74.83);(199.95, 76.63);(226.15, 91.89);(198.46, 90.7);(228.23, 108.36);(196.97, 103.27);(218.7, 107.46);(204.12, 107.46);(222.28, 133.2);(205.01, 133.8);(225.55, 156.24);(205.9, 156.24)
0.27;videos/cuts_train/fall01.mp4;walk;(207.05, 61.91);(208.84, 59.82);(204.96, 60.12);(213.31, 60.42);(203.17, 61.91);(221.07, 74.49);(199.59, 76.58);(226.15, 91.55);(198.39, 90.95);(227.94, 108.91);(197.2, 103.82);(218.68, 107.41);(204.06, 107.41);(221.97, 133.75);(204.96, 134.05);(225.25, 152.31);(205.55, 152.31)
0.3;videos/cuts_train/fall01.mp4;walk;(206.86, 61.84);(208.65, 59.74);(204.77, 60.04);(213.13, 60.34);(202.38, 61.84);(221.19, 74.43);(199.09, 76.53);(226.27, 91.82);(198.2, 90.32);(228.06, 108.9);(195.81, 105.01);(219.1, 107.71);(204.47, 108.01);(221.79, 133.49);(205.07, 133.49);(223.58, 151.17);(205.07, 151.17)
